,Title,URL ,day
0,"""팔짱 낀 김정숙 여사 외교 결례""? 진실은..",https://news.v.daum.net/v/20190701213837629,2019-07-01
1,독이 된 황교안의 '가벼운 입',https://news.v.daum.net/v/20190701060005135,2019-07-01
2,밀착 보좌' 현송월..지켜보는 김여정,https://news.v.daum.net/v/20190701064400698,2019-07-01
3,"합참 ""중부전선 DMZ서 레이더에 정체불명 항적 포착""",https://news.v.daum.net/v/20190701153206574,2019-07-01
4,"'김영철 후임' 北장금철, 판문점회동 참석한 듯..남측에 '첫선'",https://news.v.daum.net/v/20190701091305239,2019-07-01
5,공군부대서 '부사관 난투극'..육군에선 '엽기적 가혹행위',https://news.v.daum.net/v/20190701215325778,2019-07-01
6,"조국 민정수석, 법무부 장관 임명..찬성 46% vs 반대 45%",https://news.v.daum.net/v/20190701150004829,2019-07-01
7,文대통령 국정 지지율 47.6% 소폭 상승..민주 41.5%-한국 30.6%,https://news.v.daum.net/v/20190701080002837,2019-07-01
8,"공화당 ""반드시 광화문 돌아간다..경찰에 천막 보호요청""",https://news.v.daum.net/v/20190701165404342,2019-07-01
9,"황교안, '아들 KT특혜채용 의혹'에 ""고발 자체가 문제될 것""",https://news.v.daum.net/v/20190701110237349,2019-07-01
10,"콜센터 67명 '정규직' 약속 지킨 이재명 ""첫 사례, 더 많이 전환되야""",https://news.v.daum.net/v/20190701185100401,2019-07-01
11,"新 북풍 트라우마..한국당, 총선 전략수정 불가피",https://news.v.daum.net/v/20190701112702712,2019-07-01
12,제3지대'서 새판 짜기 나선 개혁보수,https://news.v.daum.net/v/20190701100104346,2019-07-01
13,"황교안 ""文대통령, 北美회담 참석 못한 것 아쉬워""",https://news.v.daum.net/v/20190701093815335,2019-07-01
14,"나경원 ""운전자·중재자 자처한 文대통령, 客으로 전락""",https://news.v.daum.net/v/20190701095020826,2019-07-01
15,"靑, 민경욱 '사드반대 브로치' 지적에 ""청록색 나비모양일뿐""",https://news.v.daum.net/v/20190701122722419,2019-07-01
16,"與에 뿔난 정의당 ""앞으로 돕는일 없다""..범진보진영 역풍 우려",https://news.v.daum.net/v/20190701101700124,2019-07-01
17,"차명진 ""판문점 회동 의미있다고?..오늘 황교안 대표 지지철회""",https://news.v.daum.net/v/20190701143108314,2019-07-01
18,"손학규 ""역사적 회동에도 씁쓸..文대통령, 역할도 존재도 없어""",https://news.v.daum.net/v/20190701093215053,2019-07-01
19,"김정숙 여사 '파란 브로치' 지적에 靑 ""청록 나비 모양일 뿐""",https://news.v.daum.net/v/20190701163202232,2019-07-01
20,"""가만있을 순 없다""던 외교부, 확전 자제하는 까닭",https://news.v.daum.net/v/20190701201505579,2019-07-01
21,"경찰, '달창' 발언 나경원 원내대표 각하 의견으로 검찰 송치",https://news.v.daum.net/v/20190701212558489,2019-07-01
22,"이재명호 1년' 여론조사..경기도민 60% ""잘했다""",https://news.v.daum.net/v/20190701103143835,2019-07-01
23,"""日, 韓 급소 노렸다""..삼성 반도체 임원회의서 나온 장탄식",https://news.v.daum.net/v/20190701153738879,2019-07-01
24,"日, 반도체 소재 등 3개 품목 對韓 수출규제 발표",https://news.v.daum.net/v/20190701104820620,2019-07-01
