에라이,NNP
있으니,NNP
하니까,NNP
아니지,NNP
이러다,NNP
도대체,NNP
그러니,NNP
자체가,NNP
때문에,NNP
영원히,NNP
반드시,NNP
찍소리,NNP
대놓고,NNP
아니야,NNP
해봐라,NNP
된다고,NNP
뭐하나,NNP
그러고,NNP
여기서,NNP
가지고,NNP
죽이고,NNP
어디서,NNP
그리고,NNP
만나서,NNP
아닐까,NNP
있다가,NNP
참으로,NNP
국제적,NNP
함부로,NNP
합니다,NNP
책임은,NNP
아무도,NNP
있으면,NNP
같은데,NNP
차려라,NNP
저런게,NNP
이제는,NNP
ㅎㅎㅎ,NNP
없으니,NNP
얼마나,NNP
잘하고,NNP
정도로,NNP
있어라,NNP
모르냐,NNP
좋다고,NNP
욕하고,NNP
국익을,NNP
조만간,NNP
하여간,NNP
적어도,NNP
일부러,NNP
꺼져라,NNP
모조리,NNP
차라리,NNP
미국,NNP
국민,NNP
개인,NNP
이번,NNP
총선,NNP
사고,NNP
하야,NNP
배상,NNP
한일,NNP
얼마,NNP
여론,NNP
2년,NNP
선거,NNP
한국,NNP
대선,NNP
하루,NNP
시작,NNP
외교,NNP
무역,NNP
판결,NNP
조금,NNP
남북,NNP
임기,NNP
국제,NNP
회의,NNP
조사,NNP
자기,NNP
입장,NNP
협상,NNP
바로,NNP
피해,NNP
일본,NNP
이전,NNP
보복,NNP
통일,NNP
북한,NNP
우리,NNP
아베,NNP
생각,NNP
누구,NNP
무엇,NNP
지금,NNP
중국,NNP
국익,NNP
그것,NNP
정부,NNP
전쟁,NNP
사람,NNP
나라,NNP
경제,NNP
정권,NNP
친일,NNP
이익,NNP
당신,NNP
기사,NNP
남한,NNP
이것,NNP
과거,NNP
장관,NNP
국가,NNP
평화,NNP
일제,NNP
민족,NNP
간첩,NNP
예전,NNP
감정,NNP
독재,NNP
너희,NNP
우파,NNP
자신,NNP
상대,NNP
예상,NNP
수준,NNP
문가,NNP
눈치,NNP
왜구,NNP
문제,NNP
저거,NNP
문통,NNP
수출,NNP
보수,NNP
언론,NNP
머리,NNP
인간,NNP
명분,NNP
그거,NNP
돼지,NNP
자국,NNP
병사,NNP
시절,NNP
보기,NNP
여당,NNP
북괴,NNP
이념,NNP
반일,NNP
친북,NNP
정치,NNP
표현,NNP
정의,NNP
뉴스,NNP
달창,NNP
걱정,NNP
그때,NNP
세금,NNP
목숨,NNP
북핵,NNP
감성,NNP
일병,NNP
새끼,NNP
군대,NNP
좌파,NNP
자식,NNP
비판,NNP
총리,NNP
능력,NNP
문씨,NNP
여자,NNP
의원,NNP
실제,NNP
대응,NNP
판단,NNP
극우,NNP
가족,NNP
기업,NNP
죽음,NNP
부모,NNP
내용,NNP
조선,NNP
니네,NNP
짱깨,NNP
제재,NNP
수입,NNP
불매,NNP
잘못,NNP
미래,NNP
모습,NNP
거지,NNP
안보,NNP
할때,NNP
본인,NNP
신문,NNP
적폐,NNP
이놈,NNP
종북,NNP
사랑,NNP
재앙,NNP
자리,NNP
처음,NNP
군인,NNP
진보,NNP
한것,NNP
퇴출,NNP
시간,NNP
현실,NNP
너네,NNP
비난,NNP
회사,NNP
논리,NNP
조국,NNP
발표,NNP
목선,NNP
회담,NNP
관계,NNP
조치,NNP
개발,NNP
수사,NNP
국회,NNP
대통,NNP
이상,NNP
다음,NNP
세상,NNP
서민,NNP
서울,NNP
시장,NNP
권력,NNP
마음,NNP
행동,NNP
구속,NNP
나베,NNP
무능,NNP
대안,NNP
