40,"""강x상이 조선일보 출신...후배등골 빼서\n 본인 앞가림 하는놈이 무슨...."""
41,"""후안무치 뻔뻔의 대명사 대구 새끼."""
42,"""관상이 간신 상이구먼.뭘 했어도 자네 관상은 그짓거리다."""
43,"""자유망국당 원님들은  하나같이  평화가오는것을 부정하고  긴장관계  공포를조성  안보의  색깔론을 씌워  표만빼먹을려는 사악한무리의  집단같다"""
44,"""얘네들은 그냥 가만히 있으면 중간이라도 할 텐데, 가만히 있지를 못하고 굳이 주접을 떨어서 망신을 당하더라. 문제는 그게 매주 한두건씩 벌어지는데도 멈출 기미가 안보인다는거 ㅋ 등신들만 모여서 그런가? ㅋ"""
45,"""후배인생 조져놓고 양심도 없는 ㅅㄲ.."""
46,"""예상이라기보다 너의바램이였겠지..."""
47,"""기분좋게 예측이 빗나갔다? 개망신 당한 놈의 변명이라고 하기엔 지나치게 치졸하구나.  뻔뻔하기가 조선찌라시 출신답다."""
48,"""군대도 안갔다온 새끼라 DMZ가 뭔지 몰랐던거 아닐까? 홍대 클럽으로 생각했을지도.."""
49,"""조선일보 출신답다. 권모술수에 음모로 정치하는 인간."""
50,"""속보ㅡ강효상 자택에서 숨쉰채  쪽팔"""
51,"""안됫으면 했겠지 문통이 잘 하고 있는거ㅜ처보이면 싫었겠지 아무튼 누구 발목 잡아서 안되는것만 바라는 것들"""
52,"""인간쓰레기, 일제시대였으면 독립운동가 밀고해서 상금 타먹었을놈"""
53,"""비례대표로서 나름 대열에 끼고 싶고 주목 받고 싶어서 안간힘을 쓰는데... 그냥 봐 줍시다.  뭐 이런 사람 한둘도 아니고 자한당 그리고 조선일보에 숱하게 많은데..."""
54,"""대한민국이 잘 되는 꼴을 싫어하는 놈. 저게 국회의원? 매국노 쉐끼."""
55,"""좃선 출신답네. 그정도가 기본이지. 근거없는 이럴것 기사."""
56,"""바램을 적어놨구만 ㅋㅋㅋ 속 시커먼놈아. 잘 안되길 바라는 건 아베랑 똑같구만. 친일아니랄까봐"""
57,"""자한당에는 왜 이런 인간들만 있는거지?"""
58,"""이새낀 나라가 망해도 자기만 배부른 친일민족배반자들과 유사한 행동을 하는 OOO네. \n지들이 희망하는 바를 정보인양 언론에 무책임하게 흘리고 국가안보중요하다면서 기밀빼돌려 오픈해서 나라망신시키는 후안무치한 OOO!"""
59,"""조선일보출신들은 수법이네. 무슨 정보통, 관계자 핑계대고 가짜뉴스 퍼트리는게. 한심하다."""
60,"""심상정의원. 민주노총의 폭력집회는 한마디 말도 없다가 당리당략에는 눈에 불을 켜는구나."""
61,"""정의 좋아하시네  꼬마정당 주제에\n몽니부리나    이래서 비례대표 없애야\n한다!\n국민투표 부처라 비례없애는데 찬성\n아닌국민은  없을거다!\n의원을 직업으로  여기는풍토없애야"""
62,"""귀족노조 선봉장. 이 나라 경제 파탄의 주범. 청년 실업자 증가의 원인자. 주둥아리로만 노동자, 서민, 국민 위한다고 외치지만 실상은 지들 밥그릇에만 관심 있는 쒸레기들"""
