,0
19,"""지 혼자 청렴한 적 깨끗한 척 애국자 코스프레 하더니 진짜 인간말종이었네... 그동안 온국민이 속아주니 천년만년 사기가 통할줄 알았냐? 민주당 이 넘들도 자한당 못지 않은 개 새 Kki 들임"""
20,"""누가 뭐래도 사랑합니다 조국~ 선량한 시민의 편인척 교수질하면서 물 들어오자마자 뒷구녕으로 56억 모으고 76억 펀드질하면서.. 또 꾸준하게.. 쉬지 않고 남을 향해 실랄하게 비난하고 저격하고.. 멋지시죠!!\n지 구린내가 들키면 \""내가 하면 로맨스\""라고 주둥아리 놀리는.. 썩은 내가 풀풀나는 역대급 반전남을 사랑합니다~~~\n여러분~ 조국님이 주연으로 열연하신 '부메랑'이 곧 방영합니다~ 지가 쐈던 독침 전부 돌려맞고 전사하는.. (스포일주의)\n온국민본방사수 부탁드려요~!!"""
21,"""지인 추천 74억 투자?   대한민국 국민여러분  이런 사람이 정상입니까?  국민  여러분이  비정상입니까?   자유  대한민국  국민여러분   내년 총선 잘 판단하여 투표하시기  바랍니다."""
22,"""살면서 이렇게 최악의 부패정권도 보게 되는 구나... 너무너무 더러워서 입에 담기도 싫네. 보수정권 비리는 명함도 못내밀겠네ㅋㅋㅋ 대통령부터 시작해서 자식들, 친인척, 그 밑에 놈들까지 비리 없는 새끼들이 없네ㅋㅋㅋㅋㅋㅋㅋ 아주 18 비리 공화국이다."""
23,"""진짜 이 개~~~ 새끼 위선의 끝은 어디냐 문제가 빨갱이 사노맹뿐이 아니었다 평생 폴리페서로 정치판을 기웃거린 교수 놈이 뭔 재산이 이렇게 많으며 지금 드러나는 재산 형성 과정과 행태가 투기꾼을 넘어 파렴치하기까지 하다ㅋㅋㅋ빨갱이,위장전입,논문 표절,부동산 투기,부동산 차명거래,의심스러운 사모펀드,세금 탈루 의혹 등 한두 가지가 아니다 또 뭐 동생 위장이혼 위장매매ㅋㅋㅋ진짜 역대급이다 거기다 이 새끼는 위의 문제에 대해 남들에겐 꼬박꼬박 지적하며 맹 비난했다는 것이다 내로남불도 역대급ㅋㅋㅋ 대한민국에 이렇게 파렴치한 놈이 또 있을까"""
24,"""프롤레타리아 혁명하겠다는 놈이 무슨 재테크냐. 소가 웃을 일이다."""
25,"""더불어 문정부 적폐를 보니 박근혜가 불쌍할 지경이다. 가이시키들아. 적당히 해처먹어라."""
26,"""세명이 운영하는 펀드에 혼자 74억 약정하고 것도 경영참여형으로.. 투자된 업종은 뭐? 아직 미정이지만 비상장 회살거고 그럼 밀어주며 나랏돈 빼먹긴 식은죽 먹기. 현재 법규상 문제 없단식인데 우병우 욕할거 없네, 법꾸라지 마찬가지. 다 똑같이 해쳐먹을 준비 다하면서 더럽게 핑게많네. 진짜 기분 더럽"""
27,"""블루코어는 실제 소유주가 조국일거임. 바지사장 내세워서 소유주를 가리고. 정부에 가로등 납품업체를 어떻게 알고 거기에 투자를 하나. 주식투자 20년한 나같은 사람도 처음듣는 회사임. 미국이나 일본같았으면 징역 10년형 이상을 받을 중대범죄임. 대놓고 해처먹으려다 대충 우기면 문재인댓글부대가 댓글장악하고, 민주노총언론노조가 장악한 언론은 대충넘어가고..언론이 제역활자체를 못하고있슴. 왜냐면 정권뺏기면 또다시 5년이상을 데모만 하고있어야하니 진실을 보도할리가있나 지금의 언론은 전두환때보다 더 편파적임. 이건 대한민국의 엄청난 비극임."""
28,"""위장전입. 딸은 외고 졸업 후 이공계 다니다 부산 의전원 재학. 아들은 군대 여러번 미루며 해외유학. 세금 상습 체납. 차명부동산 급히 조작하다 임대인 임차인 바꿔 기록하여 들통. 친동생과 이혼한 전부인과도 부동산거래. 민정수석되자 펀드 몰빵. 서울대 장기휴직으로 학생들에게 피해주면서 보험용으로 유지...이런 인간이 법무부장관되면 나라 개판되는거...ㅠ"""
