,0
684,"""이 인간은 현정권에서 내로남불이란 단어를\n만든장본인이고 국론분열 국가분열 국가경쟁력 을약화시켜 나라를 나락으로 빠트리고 국민가슴에 대못박고 멍에만 지었다 . 스스로 부엉이 바위로 가라.그래도 그분은 ㅈ팔려 명에와 명분은잃었지만 진실은했다"""
685,"""사시1차도 합격못한 꼴통이 돈욕심은 많은데\n명예욕 권력욕도 많아..나는 뒤로 부자될래. 너네는 그 시궁창에서 개돼지처럼 살아라. 불법은 아니니 잘못된게 없다는 아전인수격 논리. 너네가 추구하는 사회  진짜 무섭다."""
686,"""권력형 비리죠? 당연히 문제인데 대통령님께서 임명 할수 없죠. 조국님은 그냥 돈이나 모으세요 청와대와 민주당에 먹칠하지마시고"""
687,"""한국당은 조국이란자가 어떤식으로 대학교수가 됐는지를 까보아라 그리고 한글에 맞춤법이나 아는지가 궁금하다  진짜 까보아라 자격미달교수가학생들은 어떤교육"""
688,"""자진사퇴함이 마땅하다.  부적격사유가 너무 많다.  임명하면  김정은이도 가만히 안있지 싶다.  글고 그 텀블러  걍 삼실에 두고다니든지...폼으로 좀 안들고 다녔으면.....하나도 안멋있고 하나도 안소통스럽고 하나도 안젊은거 같거든.....그냥 쇼에구역질난다."""
689,"""문어벙은 허수아비야~ 대통 밀어준 댓가로 한탕 해먹을수있게 한자리~ 이미 약속한게있으니~ 청문회가 열려서 어떤 흠이 나오더라도 무조건 임명하기로 이미 결정이되어있다~ 형식상 나가서 잠깐 싫은소리 귀는 열려있지만 내로남불~ 그냥 무시하고 \""너그들이 아무리 그래도 문죄인은 나를 임명할수밖에없지~ 약속한게 있는데~\"" 이렇게 임명한 장관이 벌써 몇명이지~? 좌파연예인~ 김죄동/김미화등등 방송고정프로그램~ 지자체 압력넣어 고액강사료지급 등 국민세금 눈알 뒤집히듯 있을때 한탕해먹고 먹고 튀려는지~ 문시중 임기끝나면~ 빵에 들어갈 너ㅁ들 많다~"""
690,"""그펀드가 국책사업 가로등관련한 사업에 투자한다고 인터넷에 떠돌던데. 결국은. 정보를 이용한 돈벌이용아닌가?"""
691,"""걍 임명할거같은데???  국민들 말이 들리기나 하겠나???  어차피 개판됐는데 갈데까지 가보자"""
692,"""이자석은  하루하루말이틀리네.쓰레기중에진짜쓰레기네.캬악.퉤"""
693,"""코링크PE와 조 후보자 측은 약정한 증서의 법적 구속력이 없는 데다, 조 후보자 측이 처음부터 10억여원의 출자만을 못 박았다고 밝혔다.  얼굴마담이냐? 뭐냐 이거 도대체"""
694,"""고위공직자나 국회의원들 재산공개도 하고 기부액 공개도 하자"""
695,"""무슨 비리가 터져도 어차피 버티기만 하면서 배째면 좆재앙이 알아서 임명해준다 이거지 뭐."""
696,"""자본주의 꽃인 사모펀드에 개인이 투자할 정도이면 정말 성공한 사람이다.  정치는 하지 말자."""
697,"""에고.. 어쨌든 장관 자격 미달이네요."""
698,"""권력이 참 좋아 권력만있으면 별장에서 마약 먹고 집단 성관계하고 코카인하고 해도 혐의없음 종결이고 버닝썬 마약 먹고 미성년자 VVIP룸에서 집단 강간하고 해도 경찰 이 수사조차 제대로 안하고 권력만 있으면 유죄도 무죄가 되는 나라이니 이 권력 얼마나 좋은가?"""
699,"""이 대한민국이라는 나라에 돈 있고 빽 있는 놈들 중에 쓰레기 아닌 놈들 없다.\n할 수 있는데 안하는 사람은 없고, 하고 싶어도 할 수가 없어서 못하는 개돼지 인간들이 대부분.\n촛불들고 대모하고 하는것도 다 못 가진걸 가지고 싶어서다.\n결코 인간세상에 그렇지않은 새 새상은 오지 않는다."""
700,"""청문회에서 소상히? 언제 청문회에서 소상히 밝힌 후보가 있었나? 청문회에서 소상히 밝히겠다는 건 대충 개기겠다는 말과 같다."""
701,"""상식이 통하는 세상에 살고 싶다  쩝   잘한다고 하더라 소문에 전재산 보다 더더~ 많은 돈 몰빵?? 이게 상식이냐???"""
702,"""백억대 자산가라면서 진심 부럽다"""
703,"""면상만 봐도 욕나온다"""
704,"""광우뻥부터 드루킹 여론조작으로 박근혜 탄핵까지 사기꾼들이라 별로 놀랍지도 않음"""
705,"""애초에 조국 청문회에서 털릴까봐 청와대에 자리 마련한거 아니였나?ㅋㅋㅋㅋㅋㅋ치매노인답게 고새 까먹고 장관에 임명하려다 전부 뽀록나네ㅋㅋㅋ"""
706,"""삶은  소  대   가 리    겁 먹은 개 같은 정부\n어제 북에서 문재인이 광복절 연설 후 한 말이다\n삶은 소 대  가  리   겁 먹은  개 같은  정부 란다 ㅋㅋ"""
707,"""조국 이란이름 너한테 안어울린다...  적국으로 바꿔라..."""
708,"""이분이 그 유명한 우씨보다 더하단  그분인가요"""
709,"""암만 까고 사실로 드러나도 임명강행 할거 뻔한데 역겨운 얼굴 그만 올리고 북한 미사일 쏜거나 다뤄줘라"""
710,"""교수20년 한푼도 안썼다해도 구린내 나네요~"""
711,"""낙마 못시키면 야당 접시물에 코박아라"""
712,"""이런 사람을 장관후보자...?이나라 이 정권은 정말 혐오스럽다"""
713,"""좌빨 들의 이중성 봐라  까도 까도  끝없는  양파제?"""
714,"""조국이 아니라 똥국이다.그것도 아주 더러운"""
715,"""야 정말한심하다 이젠제발 너스슷로물러나라"""
716,"""구역질난다."""
717,"""지인 추천이면 끝이냐? 결국은 니가 선택한거 아니냐? \n어째 그리 뻔뻔할수가 있단 말인가!!\n공산당들은 거짓말을 밥먹듯이 한다던데..."""
718,"""상대한테는   신부나   수녀님 기준들이 댄것들 맞나"""
719,"""참 살맛 안납니다. 돈을 왜이리 좋아하나요? 법무부 장관 자리가 맞는지 맞지 않는 옷을 입으려는 욕심은 아닌지 깨닫기를 바랍니다"""
720,"""좌파들 진짜 추악해 ㅋㅋ 조국아 양심있냐!!!"""
721,"""쉬파 돈이 졸라많네 저래 배부르니 하는짓이 좌파"""
722,"""더럽다진짜"""
723,"""조국 \""아따.난 아시는 사모님이 하는 펀드라고 생각햇당깨\"""""
724,"""조그ㅜㄱ이색기정말도라이다\n뻔뻔한넘\n저런것들이국민위에군림하니정말조 ㅅ가  터서  몬살겟다"""
725,"""뒷구녕으로 많이  해처먹구있으면서  남들 ㅈ나 까구있던 야비한 자"""
726,"""아니 무슨 직원 3명회사에 중국국영기업 6000천억 투자야 거기다 조국 전재산 몰빵...구린내가 진동한다"""
727,"""일명 강남사는 귀족좌파 실사판ㅋㅋ"""
728,"""다 해처먹네 이놈저놈\n이당저당 ㅅㅂ\n이게 나라냐?ㅋ"""
729,"""문재인............그래도 임명할껄?????????????? 나라 망할징조야 ㅠㅠ"""
730,"""서울대 정문에 매달아 놓고 서울대생들이 알아서 처리해라"""
731,"""문재인도 무현이 따라가라 ㅋㅋ"""
732,"""대단한 조국이네!  위장의  대가!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"""
733,"""조국이 장관되면  본인 재산 20배는 뻥튀겨 나올듯....목숨 걸고 온갖 편법 다 쓰겠지....ㅋ"""
734,"""네말을 믿어라구? 이런 내로남불 인사야! 이런 넘을 장관시키겠다는 넘이 미쳤지. 문어벙! 문호구! 문치매! 정말 박근혜 보다 나은게 1도 없다."""
735,"""마누라가 다 해서 모른다고 할게 뻔함."""
736,"""펀드에 75억 투자??  어떤 정보를 물었기에 그 큰 돈을 걸어......5배 뻥튀겨주기로 합의했니?"""
737,"""에이 더럽샊  퉤퉤 도대체 언행일치도 안되고 내로남불 개쪈다 저런기 서울대교수? 개똥나발 민정수석하면서 얼마나 해먹었으면 75억? 와아아 세금내는 착한 서민들 피빨아먹는 거머리"""
738,"""왜이렇게 정치하는 인간들은 주식투자로 잘버냐?니네들이 법 주무르고 주식판도 주물러서 돈벌고 참 좋겠다. 국민이나 개미투자자는 죽든말든"""
739,"""전형적인 강남좌빨~ 개돼지들 선전선동해서 지만 잘먹고잘살면되는 위선자 이중인격자~ 진짜 두얼굴을 가진 인간이닷"""
740,"""정말 한 번쯤은 이런거 인사강행 막아야하는거 아니냐.. 정권출범 때부터 공약 내걸던 인사5대원칙 하나라도 걸리면 통과안시킨대놓고 족족 다 걸려드니까 이젠 그냥 뻔뻔함 그 자체임.. 김정은이 사람 볼 줄 안다니까.. 국민들 진짜 대통령도 바꾼다는것들이 이럴 땐 벙어리여 아주.. 민노총이나 좌파단체가 판 안깔아주면 국민들 제대로 할줄아는거 하나도없다 진심ㅋㅋ"""
741,"""국가전복을  꿈꾼 느미    이나라에서  세금받아\n연명한다  ?  이런 ㄱ ㅐ 조가튼"""
742,"""그럼 뭐하냐???문재인이 그냥 임명할껀데ㅋㅋㅋ참 끼리끼리 지랄한다 문재인 조국"""
743,"""진보학자들은 왜 이리 돈이 많노?\n분배가 제대로 안된 공산주의?\n통 이해가 안된다.\n가난한 보수.부자 진보.\n정말 이해가 안될 수수께끼다."""
744,"""아무런 문제가 안되요 \n문빠 개돼지들은 그렇게 말하겠지"""
745,"""위선자"""
746,"""문슬람들 알면서도 악다구니 모르는척 \""이게 왜 문제되는지 정확히 설명해줄 사람?\"" 이 지 룰하는거 봐라. 카아악 퉤. 면상에 침이라도 뱉어줄 넘들 ㅋㅋㅋ 그래 니들 한평생 길바닥 데모나 하던 새대가리에 팍팍 박히게 제일 쉽게 설명해주마. 시청 구청 도시개발과장이 지역 건설회사 주식 10000주 경영참여형으로 샀다 치자. 이게 문제 안되냐?"""
747,"""이런 놈들이 서민 운운한 거였어? ㅋㅋㅋㅋㅋㅋㅋ"""
748,"""지는 전니 배푸러터지면서 ㅋㅋㅋㅋ 말은 전니잘해요 ㅋㅋ"""
749,"""정치해서는 안될 문어벙 탐욕 코드인사  어벙한게 아닌 양의탈을 쓴 사기꾼 들중의 사기꾼 역사상 탄생되서는안될 2집단 핵돼지  사기꾼빨갱 이 악의축과 그에게 구걸하며  가짜 평화 사도로 가면쓴 좌파  역사적 최악의 정권 문어벙 집단거짓체제  그들에게 속는 미개 세력들"""
750,"""니들 문쇼통정권의 좌파 새~이들이 서민들을 위한 정치를 한다고 허구한 날 입털기로 쇼~깔리지 마라? 이런 쪼국이 돈에 권력쥐고~ 꿩먹고 알먹고~  내로남불~ 개귀에 경 읽기~ 온갖 지저분한 짓을 다하는구나!"""
751,"""서민들 10~20배 되는자가 친노동반기업 정서를 가진 빈자를 위한 혁명가 코스프레하였으니 이 얼마나 가식덩어리냐?\n차라리 박원순처럼 개인축재없이 좌파행세했다면 밉살스럽진 않지."""
752,"""주식은 못해도 펀드는 불법 아니라서 했다고 하겠지. 이자 30% 준다고 거액을 묻다니.. 정말 돈 놓고 돈 먹는 거 좋아하는 부부인가 봄."""
753,"""조국을 강제로 앉히고 문재인정권이 (X)너지거나 / 조국을 철회하고 문재인정권이 정당성을 얻거나 /무무무무무무무"""
754,"""진보 보수를 떠나서 앞뒤가 틀려서 어딘지를 모르겠네.\n안타깝네."""
755,"""여윽시 ㅋㅋㅋㅋㅋㅋㅋ죽창펀드"""
756,"""권력 으로\n정보 얻어 투기하는 쇅키야!"""
757,"""돈에 환장했는거 같네..가질만큼 가졌는데 욕심이 끝이없구나....대대손손 편안하게 먹고살게 해줄려고? 장관자리 안어울리니깐 스스로 물러나라"""
758,"""천재네..이런 천재를 죄인이가 알아봤네. 그래서 미리 내칠려구 장관임명해서 다 까발리게 했구나. 지 손으로 안 내칠려구..정말 무서운 넘이네"""
759,"""OOO 이번에도 청문회 무시하고 그냥 임명 처밀어 부쳐바라..."""
760,"""개돼지들 댓글 정치를믿는 개돼지들"""
761,"""그래도 대통령이시켜줄듯"""
762,"""사노맹 대단하다"""
763,"""너덜  자금세탁ᆢ증식 창구 아님  혹시?  조국일가는  시작이고ᆢᆢ나머지  약정금은  누구 돈으로  채워질지  모르는거고ᆢᆢ자기 전재산보다 많은  돈을  투자약정한게  말이 안되잖아"""
764,"""지인 누구? 문재앙이??"""
765,"""시킬려는늠 더나쁜것같다 똑같은늠이라서!나라가말세다"""
766,"""깨끝한척 하드니  더 썩었다 과연  국가와 국민을 위하여 진정으로 공직자로서 책임을 다할수 있겠습니까 깨끝한척이나 하지말지 참으로 엿적 어른신들의 말이 떠오릅니다 (열길 물속길은 알아도) 한길 사람속은 모른다고 하신 옛말이 하나도 틀린말이 없습니다  그만큼 사람속 마음을 모른다는 뜻입니다"""
767,"""헬조는 돈 있는것들이 죄다 정치를 하고 자빠졌으니 돈 있는것들 지들 유지시키는 정책들만... 정부 보조금도 있는 사람들 한테는 차등해서 주던가 주지말고 없는 사람들 한테 더 줘야 할거 아니냐. 그게 진정한 복지짖.  전부다 똑같이 주면 그게 공산당이지"""
768,"""끝난 사기꾼 놈."""
769,"""자식 병역소리가 제일열불난다 \n그색기에그아들이다 ㅇㅇㅇ나 거려라"""
770,"""개   세    끼  반동분자  세  끼!   김제동이 보거라 그놈도  골때린다"""
771,"""그동안 문재인 행보를 봤을때 조국이 살인을 저질렀어도 법무부장관 임명할껄? 포기해라...."""
772,"""이전정권이나 다를바 없이 똑같다. \n아니라고 잡아떼면서 하는놈들이 나쁜놈인거 문정부는 알고 있지?"""
773,"""좃국 : 내가하면 다 합법이에요"""
774,"""이걸 국민보고 이해하라고  하나ㆍ 국민이 바보가?"""
775,"""자기재산 50억원\n다팔아서 주는거아니구\n그냥 슬그머니\n팔게해줘서 그돈 저만큼 갖게되는거아님?\n\n엄마가 천얼마가없어서\n세금을못낸분께서\n칠십몇억이왠말?"""
776,"""민정수석 하면서도 돈벌 생각만 했어"""
777,"""10억투자하고  뒤 봐주고 74억 배당이냐?"""
778,"""이 인간은 그 나이에 맨날 어울리지도 않는 텀블러 들고 다니네. 청와대 민정수석 때는 맨날 머그컵 들고 사진이나 찍어대더니."""
779,"""문재인 지지자들은 내로남불을 넘어 개념이 없고, 정체성이 없어, 어러니 어딜가나 왕따 당하지 돌머리들"""
780,"""주식으로 돈 버는 개미님이 조국님 가족이었구나.. 재산보다 많은 돈이 누구 소개로 믿을만하다하면 다 몰빵할수있는 사람이 세상에 몇이나될까. 조국이 넣은 저 곳에 나도 돈 좀 투자하고 싶네..."""
781,"""좌파 꼴통사기는 신에한수다 좌파 국민들 등에빨대 꼽는소리들리네  개한민국은  전라도 조심  짱개조심 ! 좌파 집단들!"""
782,"""대단하십니다.건국이래역대극찍겠네요.역사에기록되실껍니다"""
783,"""나 지금 괌에서 휴가 보내는데..열때마다 이 줫            같은 새      \n           끼                가 보여서 핸폰 꺼놓을 예정임..에이 쒸                  뷀"""
784,"""좌빨들의 민낯."""
785,"""인생은 한방!ㅋㅋ 민정수석 할 만하네..."""
786,"""저새끼는 팀블러협찬광고찍나"""
787,"""역대 어느누구보다 냄새난다"""
788,"""투자에 투자도 모르는 등신이거나 내부정보가 있거나"""
789,"""이색히는 까도까도 미담만 나오는구나~"""
790,"""조로남불 토착빨갱이 독재타도"""
791,"""이것도 자랑스럽게도 부끄럽게도 생각하지 않는다고 하려나."""
792,"""이게사람이야 재인이야?"""
793,"""당신은 청문회가아니라 검찰조사 대상자다."""
794,"""조국...이름은 참 좋은데...북쵸센이 너의 조국이지?"""
795,"""적패종북정권의 허상.진실을   보여주는듯!\n 반일집회 10000명도 않되는  종북단체모아놓고 10만! 또는  3만 명! 근데 ! 경찰 추산은  사라줬고  10배에서5배  뻥튀기! 여론조작도 적으면 수%에서  많게는 20%이상  거짓  쑈! 이낙연이가 차기후보40%?   그뜻은 여론조사시 호남인을 40%이상 참여 시켰다는 반증!  종북당 넘들은  어디서  재산을  그렀게 모왔냐?  쟁앙이등이  방문한 기업의  자금  흐름 명확히  조사해야할듯!"""
796,"""사모펀드라... 일반적인 제테크 수단은 아닌데. 나랏일 하시면서 제테크도 매우 수준높게 하시네요."""
797,"""조국이 투자한 회사에 민노총들 취직시키고 경영간섭하게 만들어라 혹시 일본이랑 거래하는거 있음 중단시켜버리고 혹시 국민연금관련된거 있음 회장직 물러나게 만들어 버리고"""
798,"""사회주의 열혈 맹신자의 비상식적인 자본주의 테크트리 ㅋㅋ 본인이 그토록 제창하던 자본주의가 이 나라에서 전복되었다면 처자식 부귀영화까지 누릴 수 있었겠어? 우리의 정의감 높으신 탐사추적보도 전문가 어준, 진우씨 조선생 뒤도 좀 캐주세요~"""
799,"""이중인격자=좌파"""
800,"""그동안 깨끗한척 정의로운척 나대더니 다 까발려지는구나.서울대 부끄러운 동문 아직도 부동의 1위임? 우병우 그렇게 씹어대더니 당해보니 어떰?"""
801,"""토착괴뢰 범죄자 ㅅㄲ"""
802,"""뭉가놈은 해외에 나가면 머저리 취급인데 지말대로 남조선에선 대통령질 오질나게 해처먹네"""
803,"""애 색뀌 청문회에서 할 말 이미 다 나왔다.전정권에서도 비일비재한 관행이었는데 왜 나만 그래요? 개@@@@색뀌"""
804,"""사람꼬라지가저러니나라꼬라지...   \n해도해도너무하네..."""
805,"""야 아직도 몰것냐? 종석이가 너 죽이랜다."""
806,"""먹물믈 교묘하게 이용하는 아주 악질간나시끼"""
807,"""무식한 인간들은 먼말인지도 모르것다.   아무튼  종나 이리저리 머리굴려  돈 벌은거 보니  냄새는 나긴 난다."""
808,"""그냥 정치하지말고 사업이나 해라..이 인간아"""
809,"""하하하 박영선씨도 장관인데  ...안될수가없네~~  동네 아저씨아줌마가 다 장관"""
810,"""내로남불..위선자..주뎅이는 법어도 살거처람  행동은 여름철  음식 쓰레기차 지나가는 냄세나는  오물이네"""
811,"""조국 돈 욕심은 드럽게 많네\n..."""
812,"""그냥  임명하세요..    그나물에 그밥이라고요........   ㅋ"""
813,"""뜨거운 가슴으로 투기했냐? 서민등치는 색기네"""
814,"""사모펀드저게 불법 상속에 이용된다던데"""
815,"""법을 요리조리 피해가며 OOO \n쥐새끼같은놈   하라는일은 안하고\n투자질이나하니 이나라가 개판이지"""
816,"""사기꾼 빨//갱이 맞네~~~"""
817,"""얘는 뭘믿고 청문회 나온거야? 손혜원이고 조국이고 민주당 개판이네 자한당만 도둑놈들은 아니었네"""
818,"""저런자가 어떻게 대한민국 최고의 대학인 서울대학교 교수로 뽑혔는지도 철저히 조사해봐라"""
819,"""주디만 정의인 썪은 간신색귀...."""
820,"""어디 투자하는지도 모르면서 전재산보다 19억 많이 투자하겠다고 약정했다는데 상식적으로 이해가 안됩니다."""
821,"""고시도 통과 못한분이  법을 효율적으로 이용했네....2년동안 인사 청문회 때마다  시끄러웠던게  답 나왔네.....지 보다는  깨끗한 사람들  추천했구만...."""
822,"""그동안 대학 교수는 부업 오직 이념과 부의축적 / 아니 이혼한 동생 전부인과 부동산 거래는 왠일이고 이상한 가정이네 보통의 집안은 절대 아님 부친은 사업하다가 쫄닥 망했는데 대학 교수하면서 뭔 돈은 그리 많이 모았는구  역시 돈이 좋긴 좋구만!"""
823,"""이율배반 사회주의 경제를 신봉하는자가 자본주의사회에서 돈벌어 강남좌파반열에 든 사람 아닌가"""
824,"""사법고시 4번 떨어진 돌머리가   더러운세상 빽"""
825,"""윤석렬이가 나서야 할듯"""
826,"""또 남탓???  그냥사퇴해라"""
827,"""조국이 적폐"""
828,"""사모펀드가 뭐임? 민정수석이 하라는 일 안하고 사모펀드 한 거냐?"""
829,"""노무현도 그랬지 아내가 받았다고 ㅋㅋㅋㅋ"""
830,"""저런  떨거지를 자기측근에 두고 있는  재앙이  저건  언제  벼락 맞나"""
831,"""이 새낀 대체 정체가 뭐야?"""
832,"""진보적 도둑놈~~!!ㅋ"""
833,"""그냥내려오시죠"""
834,"""주적이 누군지도 모르는 쩝쩝이 똥개 주사파시다바리 정권에서는  위장전입 논문표절   재판개입 부정축재  사전정보입수 세금탈루 안하면  장관  못합니다..."""
835,"""xx텀블러는 종류별로 들고 쳐다니네 텀블러 아니면 머그컵.... 온갖 비리는 다 저지르면서 온갖폼은 또 다잡아 ㅋㅋ"""
836,"""세상에  고양이에게 생선 맡기겠네 ㄷㄷ"""
837,"""도데체 정체가 뭐냐? 역대급 대도"""
838,"""조국한테 문재앙도 속고 국민도 깜쪽 같이 속고 우리집 개도 속았네."""
839,"""지거네? 짜고치는게 아니라 바지 앞에두고 수익내고 빠질려고 하다가  투자금액이 조달이 안되었겠지? 전형적 권력이용한 투자사기 공모이겠네? 소설일까?"""
840,"""역시 그나물에 그밥 이다..\n다 똑같아.."""
841,"""민정수석이 하는 일이 투자정보 알아내서 지인끼리 투자하기냐. 인사검증 개판이던 이유가 이거구만."""
842,"""장관도 민정수석도 재임기간에 돈 버는 게 우리나라 아닌가요?? ㅋㅋㅋ 이전 민정수석도 이랫던 거 같은데 ㅋㅋㅋ"""
843,"""잘가라 국"""
844,"""에라이 나쁜0 차라리 자살하라"""
845,"""멋지다 지인추천으로만 10억 베팅도하고 돈이 넘치나 보네 그 돈으로 기부나 했으면 얼마나 좋아"""
846,"""손모가지 날리면 주댕이로 텀블러나 머그컵 물고 다닐듯"""
847,"""버텨봐  걍 임명합니다  하면  크리스마스  하야  ㅌㅋㅋㅋ"""
848,"""한탕  해볼려고  했는데  ----------틀려버렸네---------------세상이  뒤집힐  정도로  한번  해야되는데-----------지금이  딱  적기인데"""
849,"""2년넘게 쌓인 적폐청산하고  다시 시작해라.큰소리치다 박근혜 꼴난다"""
850,"""종북 좌빨  문빨  시키덜은   다  최신순이냐   네이년   걸레    십장생"""
851,"""지인 추천받아..그게 문제 아닌가? ..."""
852,"""문재앙 이런거는 정치섹션넣게 압박넣쥬?ㅋㅋㅋ"""
853,"""문똥통하고일한 작자가 뻔하지"""
854,"""욕도하기싫다 이런 쓰레기들 집단"""
855,"""부인이 해서 난 모르는 일이라고 하겠지^^"""
856,"""일반인들은 못하는거 ㅅㅂ 정치인들은 사전정보취득으로 다해먹지 \n니들이 선거할때만 평등, 서민 외치면서\n뒤에선 돈끌어 담을 생각뿐이였구나 ㅎㅎ 더러운 위선자들 진짜 천벌받을거다"""
857,"""물 들어올때 노젓는다 는 말이 이럴때 쓰는말이다. 어디 조국뿐일까? 하지만 메뚜기도 한철이란 말이 있지.그 때를 늦추려고 안간힘을 쓰고 있지만 시간은 빨리 흘러간다."""
858,"""좌파들은 좌파가 똥을 발라도 같은 좌파라고 좋아 한다"""
859,"""자랑스러운 대한민국 조국을 욕먹이는 짝퉁 이름의 편법으로 돈 밝히는 bad 놈 ugly 놈 worst 놈."""
860,"""도그같은 놈"""
861,"""온갖정보를 다루는 민정수석인데 .. 배받에서 갓 고쳐쓰지 마셔야."""
862,"""흑석김의겸 선생과 쌍벽을 이루는 사모펀드조국선생 ㅠ"""
863,"""어쩌다 저런 이를 곁에 두셨을까요.. 대통령께서도 뒷통수맞고 상심이 크시겠네요 힘내십시오"""
864,"""그냥 청문회와 상관없이 늘 임명하는대로 그냥 쭉 가시고 한마디만 할께요 느그들만  깨끗한척하지마라 역겹고 토나올지경"""
865,"""청문회때 어떻게든 법적인문제만은  없다라는 논리로 나오겠지. 야당은 그 이면을 파헤쳐야할것이다. 그것이 가장 국민이 궁금해하는점이다."""
866,"""꼬리지 보니  오래살긴 걸렀다 ᆢ  모두가  씹어대니  몇년후엔  쥐도새도 모르겄어ᆢ나쁜짓은  다하연서  착한척ㆍ"""
867,"""이게 놀랄일인가?\n장관 임명되는사람들마다  다그런걸.\n역겹다.  토나온다."""
868,"""우와~~ 이정도면 달창 레밍 좌파 빨갱이 전라도도 이해 못할듯"""
869,"""더럽은 좌파새기...."""
870,"""진짜....멀 해먹을려고 올인했냐????"""
871,"""나뿐임.  더 나뿐놈. 아주 나쁜놈\n..~~"""
872,"""시래기 자슥. 뒷다마를 까고 있었네."""
873,"""죄국아 죄인이 범무장관 임명한다 개판나라 개판치고 일찍이 깜방에가라."""
874,"""빨갱이 쓰레기 위선자"""
875,"""꾼이네 꾼"""
876,"""내돈으로 주식 투자하는 거와 내돈을 다른 사람이 주식투자하는 것이 다르다고 우기고 있는데.. 전 세계에서 hell korea 라고 모두 비웃고 있다. 정말 창피해서 해외를 못 나가겠다.."""
877,"""돈맛을 아는 사회주의가뭐냐ㅡ?\n조국아 고마해라 자슥아"""
878,"""조국 제발 개명해라  왕 짜증난다"""
879,"""최순실 욕할게 아니네ㅋㅋ 뛰는 놈 위에 나는 놈ㅋㅋㅋ"""
880,"""민정수석때 전희경 의원한테 법 어긴거 있으면 찾아보라고 지랄발악하던게 엊그젠데 ㅋㅋㅋ"""
881,"""너의 신념이란것이 ㅋㅋ 이거냐? 좌파같은 우파냐? ㅋ 어이읍네 결국 무시하고 임명하겠지만 양심이 조금이라도 있나 모르겠다 서울대생들에게 쪽팔리지 않냐?"""
882,"""구린내가 진동"""
883,"""좌빨의 이중성을  넘어선것 같다."""
884,"""사무실도 없는 유령펀드가 뭔 경영참여형이니 머니 헛소리여..... 재산보다 많은 던을 몰빵했다는건 설명이 필여없는거다... 국책형 사업이나 내부정보로 투자해서 일확천금을 벌고 뜨는거... 다른게 또 있는감 ??"""
885,"""돈벌려고 다들 권력욕에 혈안이구나"""
886,"""누가 누구보고 비리래? 누가누고보고 드럽대?  안그러냐? 개            븅           진같은               지지자  미          x세          키        들아"""
887,"""ㅋㅋ누가쓰레긴지?"""
888,"""본인부터 비리온상이니,, 추천하는 사람들도 유유상종이지"""
889,"""미꾸라지처럼 빠져나가는 법만 배우신듯"""
890,"""지인누구? 재앙이?"""
891,"""헤어스타일부터 밥맛"""
892,"""민정수석에 있으면서 말이 되냐?  진짜 이놈의 정부는 온갖 척은 다 하면서 알고보면 진짜 너무 너무 심하다 !!!!!"""
893,"""통일펀더  \n빨 리사라"""
894,"""댁,. 누구말대로 국민을 위해서라면 사퇴하세요요, 왜 그 자리를 있을라고하는지? 머리굴리세요"""
895,"""ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"""
896,"""머리 쓸어 올리려니 귀찮치 않음?\n나처름 뽀글이 빠마를 하던지 ,아니면 똑딱 핀, 그도\n싫음 빡빡 미는것도 적극 권유!"""
897,"""주식시장이 폭락을했는데도 공매도 금지가 안된 이유가 이때문은 아니겠지???"""
898,"""사모편드니.뭐니.무시기햐도 몰겠고...즈식.비슷한거겠지?? ㅋㅋㅋㅋㅋ.34억 예금이 있다는 거도 부럽다^^ 신은 공평하다???카~"""
899,"""문재앙 보다 이 넘이 더 싫어"""
900,"""민심은 아웃"""
901,"""꼴보기싫다"""
902,"""한마디로 내로남불.\n조국 은 OOO 다.그넘 뿐이아니고 문재앙과\n좌파정권더불공산당. \n빨갱이 새  .끼. 들  지지하는 넘들은\n정말 정말 아무것도 모른고있는 무식한 개 이쉐이길이다. 쯧쯧 나라앞날이 캄캄하네"""
